Ticker,Date,Cluster
EDIT,2018-10-22,1
GCO,2017-03-13,1
SMMT,2017-11-06,3
BOX,2018-07-16,4
CHRW,2019-09-09,4
ORRF,2016-11-07,4
RVNC,2018-07-16,4
PINC,2015-01-05,4
GKOS,2015-09-14,1
AGIO,2016-09-12,3
AIG,2019-12-09,4
WKHS,2017-12-04,4
SKYW,2019-04-22,4
ITRI,2020-04-20,3
HALO,2020-05-04,4
IPI,2017-05-01,0
ACET,2019-10-28,3
GRBK,2019-05-13,4
BOOT,2018-10-01,1
OTRK,2019-08-05,4
KMX,2019-10-21,4
APEI,2016-10-24,1
MO,2019-10-07,4
QLYS,2015-11-02,4
EPAC,2017-01-30,4
QTRX,2019-06-17,4
MTG,2015-10-05,4
IRTC,2018-09-10,1
EVOK,2016-01-04,2
NVRO,2017-03-20,4
XBIO,2020-03-09,2
DLPN,2018-10-08,1
SFM,2016-01-25,4
BCC,2016-02-01,1
SHW,2019-02-25,1
MKL,2019-10-07,1
WINT,2016-02-22,1
GIC,2017-03-13,1
AIRI,2015-09-21,1
ALGN,2015-06-15,4
OFIX,2018-03-12,4
AXL,2019-10-21,3
MBIO,2018-08-20,3
CROX,2019-03-04,4
O,2016-12-12,4
EFOI,2015-06-15,3
HE,2015-02-02,1
BKR,2019-03-18,1
TKR,2016-03-07,4
CNOB,2017-10-30,4
CDMO,2017-05-01,1
LKFN,2016-08-15,4
WW,2020-12-07,1
FPI,2020-08-24,4
MATW,2020-11-09,3
OBT,2019-04-22,4
DAL,2019-08-12,1
CHCI,2016-11-28,4
AMBC,2015-05-11,3
ASRV,2016-11-07,3
FORM,2017-04-24,3
MLM,2017-06-12,4
LBRT,2018-10-01,1
KPLT,2020-03-23,4
CUTR,2018-01-29,1
AIG,2020-05-04,3
SNOA,2019-11-04,1
CMRX,2018-12-10,2
AVRO,2019-11-04,1
CACI,2020-07-06,1
ORI,2020-10-05,4
TDG,2017-09-11,4
MXL,2017-03-20,4
KOPN,2017-09-25,4
ARCT,2018-04-16,1
CELH,2018-10-15,3
NUWE,2017-04-24,2
WAT,2015-02-23,4
USB,2016-07-11,4
ASTC,2017-03-20,1
PGRE,2015-04-20,4
CALM,2017-10-30,4
CCBG,2018-05-14,4
CPIX,2017-05-01,4
LPTX,2020-06-01,1
ALSN,2016-04-04,4
FIS,2019-10-28,4
HLX,2019-03-04,4
NX,2018-01-29,1
WOR,2019-07-29,1
CRSR,2020-11-30,1
CCCC,2020-10-05,1
MASI,2015-06-15,4
PLSE,2020-10-26,1
JBHT,2018-07-23,1
INVA,2018-11-05,4
KTOS,2015-02-23,1
MNSB,2018-04-23,1
HUBB,2015-05-04,4
INO,2018-08-13,3
CLDX,2017-07-24,4
WDAY,2015-07-20,4
COHN,2016-08-22,2
ICD,2019-12-02,3
LYV,2020-07-13,3
GTY,2016-12-05,4
CSWI,2016-01-25,4
STZ,2015-05-04,4
WAVD,2015-03-16,4
NI,2019-07-08,4
NJR,2018-07-16,4
NEPH,2016-01-25,4
INLX,2016-10-17,2
NUWE,2019-03-18,4
NVEC,2018-10-29,4
VVI,2020-10-26,1
SLRX,2016-02-29,1
ATGE,2016-12-05,3
SCPH,2020-04-27,3
FBIO,2017-03-27,1
WTM,2020-08-10,1
RBCAA,2016-03-07,4
TECH,2019-05-13,4
GIFI,2015-12-07,3
OEC,2019-05-13,1
SWX,2020-06-01,1
SLAB,2018-08-06,4
DWSN,2019-06-10,1
NOTV,2016-06-13,4
CRMD,2019-06-10,4
SOTK,2019-08-05,4
BGS,2018-03-05,1
CTRA,2020-10-05,3
OMER,2019-10-07,1
NTNX,2020-09-21,4
XNCR,2020-07-13,3
AAOI,2017-05-08,3
SMTC,2020-02-24,1
TMO,2020-08-10,4
WLY,2015-03-02,1
MSI,2016-09-12,1
ATRC,2015-09-28,4
FSBW,2019-04-01,4
SBET,2016-04-25,3
SPLP,2018-05-14,4
FXNC,2017-02-27,1
KTCC,2018-11-05,1
VSTM,2019-01-07,1
ROP,2020-05-11,4
GLW,2019-10-14,4
TALO,2020-12-07,1
TTWO,2016-02-22,4
PRU,2018-05-14,4
BFH,2017-11-27,3
MYE,2019-11-11,1
VIRX,2020-10-26,2
SGMO,2017-10-30,1
CI,2017-08-14,4
REI,2020-02-03,3
COST,2017-12-11,4
PENN,2015-04-13,3
EWBC,2017-11-27,3
TER,2015-03-09,4
BFH,2020-08-17,1
VVX,2015-10-05,4
DNOW,2020-03-09,2
ERNA,2016-10-31,4
LYV,2015-03-09,4
PAYO,2020-10-26,4
MEDS,2015-06-15,4
HIG,2019-07-29,4
LOB,2019-12-09,4
SBCF,2015-06-01,4
